Horizon,Model,Segment,StartDay,EndDay,MSE,MAE
short(90),LSTM,0-29,0,29,163206.71875,337.4401550292969
short(90),LSTM,30-59,30,59,268117.625,422.80780029296875
short(90),LSTM,60-89,60,89,245885.3125,298.19244384765625
short(90),Transformer,0-29,0,29,316077.3125,507.04339599609375
short(90),Transformer,30-59,30,59,192055.390625,344.09332275390625
short(90),Transformer,60-89,60,89,181370.09375,322.7259216308594
short(90),Stable-DR-CNN-Transformer,0-29,0,29,257237.265625,394.2493896484375
short(90),Stable-DR-CNN-Transformer,30-59,30,59,186219.921875,335.49139404296875
short(90),Stable-DR-CNN-Transformer,60-89,60,89,164307.9375,295.0914611816406
long(365),LSTM,0-89,0,89,238096.046875,382.77294921875
long(365),LSTM,90-179,90,179,205192.28125,335.6661682128906
long(365),LSTM,180-269,180,269,179046.25,351.3543701171875
long(365),LSTM,270-359,270,359,260521.640625,389.28094482421875
long(365),LSTM,360-364,360,364,118942.859375,294.05029296875
long(365),Transformer,0-89,0,89,228839.859375,382.0335998535156
long(365),Transformer,90-179,90,179,233848.09375,350.4227600097656
long(365),Transformer,180-269,180,269,146836.1875,281.87982177734375
long(365),Transformer,270-359,270,359,364706.0,474.6856384277344
long(365),Transformer,360-364,360,364,228693.171875,421.10662841796875
long(365),Stable-DR-CNN-Transformer,0-89,0,89,290192.4375,423.041748046875
long(365),Stable-DR-CNN-Transformer,90-179,90,179,164181.625,304.10601806640625
long(365),Stable-DR-CNN-Transformer,180-269,180,269,111079.7109375,243.537109375
long(365),Stable-DR-CNN-Transformer,270-359,270,359,295069.6875,422.8799133300781
long(365),Stable-DR-CNN-Transformer,360-364,360,364,121809.265625,331.040771484375
